Bosque,Year,Planta,X,Y,Periodo,Flores,prob_consp_step
3,2020,Potentilla_erecta,13,11,1,2,0.7319022310530533
3,2020,Ranunculus_sp,12,11,1,4,0.629409976546356
3,2020,Lotus_corniculatus,11,11,1,3,0.6834903022553223
3,2020,Ranunculus_sp,11,11,1,4,0.7915959332885796
3,2020,Lathyrus_linifolius,11,11,1,2,0.679805063607895
3,2020,Ranunculus_sp,10,11,1,2,0.6193489828734675
3,2020,Potentilla_erecta,10,11,1,1,0.5744076000976397
3,2020,Ranunculus_sp,7,11,1,1,0.5416951316036283
3,2020,Potentilla_erecta,5,11,1,1,0.5331785138490448
3,2020,Ranunculus_sp,4,11,1,1,0.6592308222741846
3,2020,Lathyrus_linifolius,3,11,1,1,0.7309318754891019
3,2020,Ranunculus_sp,2,11,1,1,0.5706801930265892
3,2020,Ranunculus_sp,1,11,1,2,0.6095279009897215
3,2020,Ranunculus_sp,0,11,1,3,0.6474264332565122
3,2020,Ranunculus_sp,1,12,1,1,0.577390427790003
3,2020,Lathyrus_linifolius,2,12,1,3,0.6274475628621239
3,2020,Lotus_corniculatus,4,12,1,5,0.6570570159870956
3,2020,Ranunculus_sp,4,12,1,1,0.7605795964726975
3,2020,Potentilla_erecta,4,12,1,1,0.7155538135872004
3,2020,Ranunculus_sp,5,12,1,1,0.5491687774865307
3,2020,Ranunculus_sp,7,12,1,1,0.5933558239749449
3,2020,Ranunculus_sp,9,12,1,1,0.6186285876930118
3,2020,Potentilla_erecta,9,12,1,2,0.5836221771003612
3,2020,Potentilla_erecta,10,12,1,2,0.7226513885213275
3,2020,Ranunculus_sp,10,12,1,4,0.7901158487208844
3,2020,Lathyrus_linifolius,10,12,1,3,0.677702209877706
3,2020,Lathyrus_linifolius,11,12,1,1,0.6576480149800311
3,2020,Ranunculus_sp,11,12,1,3,0.6469377789157285
3,2020,Potentilla_erecta,12,12,1,1,0.5284750277276599
3,2020,Ranunculus_sp,13,12,1,3,0.6966179986753852
3,2020,Taraxacum_sp,13,12,1,1,0.6830174129175669
