Fecha,Hora,Bosque,Ronda,Codigo-vuelo-dia,Codigo-Vuelos,Orden_vuelo,Planta_vistada,coord_flores(x),coord_flores(y),nº visitas,coord_planta(x),coord_planta(y),planta(dentro cuadro),,,Codigo_captura,idem capturados,Order,Pollinator_genus,Pollinator_subgenus,Pollinator_species,subespecie,Pollinator_sex,morphoespecie,Det,Comments,tiempo,T (ºC),HR %,observaciones,,,,,,,,,,,,,,,,,,,,
21.04.2021,11:25,Pinar Hinojos,6,HV6-02,HV6-02.28,28,Leontodon longirostris,2,8,1,2,8,2,,,,HC6-01,Hymenoptera,Andrena,,alluaudi,,female,,,,soleado,19,55,,,,,,,,,,,,,,,,,,,,,
21.04.2021,11:25,Pinar Hinojos,6,HV6-02,HV6-02.29,29,Leontodon longirostris,2,8,1,2,8,3,,,,HC6-01,Hymenoptera,Andrena,,alluaudi,,female,,,,soleado,19,55,,,,,,,,,,,,,,,,,,,,,
21.04.2021,11:25,Pinar Hinojos,6,HV6-02,HV6-02.30,30,Leontodon longirostris,2,8,1,2,8,4,,,,HC6-01,Hymenoptera,Andrena,,alluaudi,,female,,,,soleado,19,55,,,,,,,,,,,,,,,,,,,,,
21.04.2021,11:25,Pinar Hinojos,6,HV6-02,HV6-02.31,31,Leontodon longirostris,2,8,1,2,8,5,,,,HC6-01,Hymenoptera,Andrena,,alluaudi,,female,,,,soleado,19,55,,,,,,,,,,,,,,,,,,,,,
21.04.2021,11:25,Pinar Hinojos,6,HV6-02,HV6-02.32,32,Leontodon longirostris,2,9,1,2,9,1,,,,HC6-01,Hymenoptera,Andrena,,alluaudi,,female,,,,soleado,19,55,,,,,,,,,,,,,,,,,,,,,
21.04.2021,11:25,Pinar Hinojos,6,HV6-02,HV6-02.33,33,Leontodon longirostris,2,9,1,2,9,2,,,,HC6-01,Hymenoptera,Andrena,,alluaudi,,female,,,,soleado,19,55,,,,,,,,,,,,,,,,,,,,,
21.04.2021,11:25,Pinar Hinojos,6,HV6-02,HV6-02.34,34,Leontodon longirostris,2,9,1,2,9,3,,,,HC6-01,Hymenoptera,Andrena,,alluaudi,,female,,,,soleado,19,55,,,,,,,,,,,,,,,,,,,,,
21.04.2021,11:25,Pinar Hinojos,6,HV6-02,HV6-02.35,35,Leontodon longirostris,2,9,1,2,9,4,,,,HC6-01,Hymenoptera,Andrena,,alluaudi,,female,,,,soleado,19,55,,,,,,,,,,,,,,,,,,,,,
21.04.2021,11:25,Pinar Hinojos,6,HV6-02,HV6-02.36,36,Leontodon longirostris,1,9,1,1,9,,,,,HC6-01,Hymenoptera,Andrena,,alluaudi,,female,,,,soleado,19,55,,,,,,,,,,,,,,,,,,,,,
21.04.2021,11:40,Pinar Hinojos,6,HV6-03,HV6-03.01,1,Leontodon longirostris,1,7,1,1,7,1,,,,HC6-01,Hymenoptera,Andrena,,alluaudi,,female,,,,soleado,19,55,,,,,,,,,,,,,,,,,,,,,
21.04.2021,11:40,Pinar Hinojos,6,HV6-03,HV6-03.02,2,Leontodon longirostris,1,7,1,1,7,2,,,,HC6-01,Hymenoptera,Andrena,,alluaudi,,female,,,,soleado,19,55,,,,,,,,,,,,,,,,,,,,,
21.04.2021,11:40,Pinar Hinojos,6,HV6-03,HV6-03.03,3,Leontodon longirostris,1,7,1,1,7,3,,,,HC6-01,Hymenoptera,Andrena,,alluaudi,,female,,,,soleado,19,55,,,,,,,,,,,,,,,,,,,,,
21.04.2021,11:40,Pinar Hinojos,6,HV6-03,HV6-03.04,4,Leontodon longirostris,1,8,1,1,8,1,,,,HC6-01,Hymenoptera,Andrena,,alluaudi,,female,,,,soleado,19,55,,,,,,,,,,,,,,,,,,,,,
21.04.2021,11:40,Pinar Hinojos,6,HV6-03,HV6-03.05,5,Leontodon longirostris,1,8,1,1,8,2,,,,HC6-01,Hymenoptera,Andrena,,alluaudi,,female,,,,soleado,19,55,,,,,,,,,,,,,,,,,,,,,
