"","Fecha","Bosque","Ronda","SP","X","Y","i","flores_disponibles","Escapos_indivi"
"219","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",4,10,5,1,NA
"220","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",4,10,6,1,NA
"221","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",5,9,NA,1,NA
"222","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",5,10,1,1,NA
"223","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",5,10,2,1,NA
"224","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",5,10,3,1,NA
"225","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",6,10,1,1,NA
"226","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",6,10,2,1,NA
"227","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",7,10,NA,1,NA
"228","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",8,7,NA,1,NA
"229","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",8,8,NA,1,NA
"230","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",9,1,NA,1,NA
"231","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",9,8,NA,1,NA
"232","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",10,2,NA,1,NA
"233","21/04/2021","Pinar Hinojos",6,"Leontodon longirostris",10,10,NA,1,NA
"234","03/05/2021","Pinar Hinojos",7,"Bartsia trixago",10,7,NA,3,NA
"235","03/05/2021","Pinar Hinojos",7,"Chamaemelum mixtum",5,9,NA,1,NA
"236","03/05/2021","Pinar Hinojos",7,"Chamaemelum mixtum",5,10,1,1,NA
"237","03/05/2021","Pinar Hinojos",7,"Chamaemelum mixtum",5,10,2,1,NA
"238","03/05/2021","Pinar Hinojos",7,"Chamaemelum mixtum",5,10,3,1,NA
"239","03/05/2021","Pinar Hinojos",7,"Chamaemelum mixtum",5,10,4,1,NA
"240","03/05/2021","Pinar Hinojos",7,"Chamaemelum mixtum",5,10,5,1,NA
"241","03/05/2021","Pinar Hinojos",7,"Chamaemelum mixtum",5,10,6,1,NA
"242","03/05/2021","Pinar Hinojos",7,"Chamaemelum mixtum",5,10,7,1,NA
"243","03/05/2021","Pinar Hinojos",7,"Chamaemelum mixtum",5,10,8,1,NA
"244","03/05/2021","Pinar Hinojos",7,"Chamaemelum mixtum",5,10,9,1,NA
"245","03/05/2021","Pinar Hinojos",7,"Chamaemelum mixtum",5,10,10,1,NA
"246","03/05/2021","Pinar Hinojos",7,"Chamaemelum mixtum",5,10,11,1,NA
"247","03/05/2021","Pinar Hinojos",7,"Chamaemelum mixtum",5,10,12,1,NA
"248","03/05/2021","Pinar Hinojos",7,"Chamaemelum mixtum",5,10,13,1,NA
"249","03/05/2021","Pinar Hinojos",7,"Chamaemelum mixtum",5,10,14,1,NA
"250","03/05/2021","Pinar Hinojos",7,"Chamaemelum mixtum",5,10,15,1,NA
"251","03/05/2021","Pinar Hinojos",7,"Chamaemelum mixtum",5,10,16,1,NA
"252","03/05/2021","Pinar Hinojos",7,"Chamaemelum mixtum",5,10,17,1,NA
"253","03/05/2021","Pinar Hinojos",7,"Chamaemelum mixtum",5,10,18,1,NA
"254","03/05/2021","Pinar Hinojos",7,"Chamaemelum mixtum",5,10,19,1,NA
"255","03/05/2021","Pinar Hinojos",7,"Chamaemelum mixtum",5,10,20,1,NA
