"","Bosque","Codigo","Dia","ID","Especie.planta","Frutos","id","quad","quad2","periodo","periodo2","flores","flores2","fruit_set"
"123","Villamanrique chaparral","VC","1.06.2020","cc19","Cistus crispus",90,"VCCC19",NA,"2,7",NA,"4",NA,50,1.8
"124","Villamanrique chaparral","VC","1.06.2020","cc20","Cistus crispus",160,"VCCC20",NA,"2,7",NA,"4",NA,82,1.95121951219512
"125","Villamanrique chaparral","VC","1.06.2020","cc21","Cistus crispus",70,"VCCC21",NA,"4,11",NA,"4",NA,31,2.25806451612903
"126","Villamanrique chaparral","VC","1.06.2020","cc22","Cistus crispus",180,"VCCC22",NA,"9,11",NA,"4",NA,20,9
"127","Villamanrique chaparral","VC","1.06.2020","cc23","Cistus crispus",230,"VCCC23",NA,"9,11",NA,"4",NA,15,15.3333333333333
"128","Villamanrique chaparral","VC","1.06.2020","cc24","Cistus crispus",70,"VCCC24",NA,"9,11",NA,"5",NA,65,1.07692307692308
"129","Villamanrique chaparral","VC","1.06.2020","cs1","Cistus salviifolius",30,"VCCS1","0,4","0,4",3,"3",1,1,30
"130","Villamanrique chaparral","VC","1.06.2020","cs2","Cistus salviifolius",20,"VCCS2","0,4","0,4",3,"3",2,2,10
"131","Villamanrique chaparral","VC","1.06.2020","cs3","Cistus salviifolius",20,"VCCS3","4,5","4,5",3,"3",3,3,6.66666666666667
"132","Villamanrique chaparral","VC","1.06.2020","cs4","Cistus salviifolius",70,"VCCS4","4,5","4,5",3,"3",3,3,23.3333333333333
"133","Villamanrique chaparral","VC","1.06.2020","cs7","Cistus salviifolius",260,"VCCS7","11,12","11,12",3,"3",7,7,37.1428571428571
"134","Villamanrique chaparral","VC","1.06.2020","cs8","Cistus salviifolius",130,"VCCS8","11,14","11,14",3,"3",4,4,32.5
"135","Villamanrique chaparral","VC","1.06.2020","cs9","Cistus salviifolius",110,"VCCS9","11,16","11,16",3,"3",11,11,10
"136","Villamanrique chaparral","VC","1.06.2020","cs10","Cistus salviifolius",50,"VCCS10","11,16","11,16",3,"3",12,12,4.16666666666667
"137","Villamanrique chaparral","VC","1.06.2020","cs11","Cistus salviifolius",50,"VCCS11",NA,"10,12",NA,"3",NA,2,25
"138","Villamanrique chaparral","VC","1.06.2020","cs12","Cistus salviifolius",40,"VCCS12",NA,"10,12",NA,"3",NA,3,13.3333333333333
"139","Villamanrique chaparral","VC","1.06.2020","cs13","Cistus salviifolius",30,"VCCS13","15,12","15,12",3,"3",3,3,10
"140","Villamanrique chaparral","VC","1.06.2020","cs15","Cistus salviifolius",50,"VCCS15","24,15","24,15",3,"3",3,3,16.6666666666667
"141","Villamanrique chaparral","VC","1.06.2020","cs16","Cistus salviifolius",120,"VCCS16","24,15","24,15",3,"3",2,2,60
"142","Villamanrique chaparral","VC","1.06.2020","cs17","Cistus salviifolius",20,"VCCS17",NA,"24,15",NA,"4",NA,4,5
"143","Villamanrique chaparral","VC","1.06.2020","cs18","Cistus salviifolius",60,"VCCS18",NA,"9,6",NA,"4",NA,11,5.45454545454545
"144","Villamanrique chaparral","VC","1.06.2020","cs19","Cistus salviifolius",20,"VCCS19",NA,"9,6",NA,"4",NA,3,6.66666666666667
"145","Villamanrique chaparral","VC","1.06.2020","cs20","Cistus salviifolius",30,"VCCS20",NA,"9,6",NA,"5",NA,2,15
