Year,Day_ISO,Week_ISO,Week,Periodo_hora,Bosque,Codigo_vuelo,Codigo_within_sequence,Polinizador,Planta,X,Y
2021,78,11,3,14:07:00,Pinar Hinojos,HV3-06,3,Lasioglossum_sp,Halimium_calycinum,8,1
2021,78,11,3,14:07:00,Pinar Hinojos,HV3-06,4,Lasioglossum_sp,Halimium_calycinum,8,1
2021,78,11,3,14:07:00,Pinar Hinojos,HV3-06,5,Lasioglossum_sp,Halimium_calycinum,8,1
2021,78,11,3,14:07:00,Pinar Hinojos,HV3-06,6,Lasioglossum_sp,Halimium_calycinum,8,1
2021,78,11,3,14:10:00,Pinar Hinojos,HV3-07,1,Lasioglossum_sp,Halimium_calycinum,8,4
2021,78,11,3,14:10:00,Pinar Hinojos,HV3-07,2,Lasioglossum_sp,Halimium_calycinum,8,4
2021,78,11,3,14:10:00,Pinar Hinojos,HV3-07,3,Lasioglossum_sp,Halimium_calycinum,8,4
2021,78,11,3,14:10:00,Pinar Hinojos,HV3-07,4,Lasioglossum_sp,Halimium_calycinum,8,4
2021,78,11,3,14:10:00,Pinar Hinojos,HV3-07,5,Lasioglossum_sp,Halimium_calycinum,8,4
2021,78,11,3,14:10:00,Pinar Hinojos,HV3-07,6,Lasioglossum_sp,Halimium_calycinum,8,4
2021,90,13,5,12:20:00,Pinar Hinojos,HV4-01,1,Episyrphus_balteatus,Halimium_calycinum,4,5
2021,90,13,5,12:20:00,Pinar Hinojos,HV4-01,2,Episyrphus_balteatus,Halimium_calycinum,4,5
2021,90,13,5,12:20:00,Pinar Hinojos,HV4-01,3,Episyrphus_balteatus,Halimium_calycinum,4,5
2021,90,13,5,12:20:00,Pinar Hinojos,HV4-01,4,Episyrphus_balteatus,Halimium_calycinum,4,5
2021,90,13,5,12:20:00,Pinar Hinojos,HV4-01,5,Episyrphus_balteatus,Halimium_calycinum,4,5
2021,90,13,5,12:20:00,Pinar Hinojos,HV4-01,1,Episyrphus_balteatus,Halimium_calycinum,5,4
2021,90,13,5,12:20:00,Pinar Hinojos,HV4-01,1,Episyrphus_balteatus,Halimium_calycinum,8,2
2021,90,13,5,12:20:00,Pinar Hinojos,HV4-01,2,Episyrphus_balteatus,Halimium_calycinum,8,2
2021,90,13,5,12:20:00,Pinar Hinojos,HV4-01,3,Episyrphus_balteatus,Halimium_calycinum,8,2
2021,90,13,5,12:20:00,Pinar Hinojos,HV4-01,4,Episyrphus_balteatus,Halimium_calycinum,8,2
2021,90,13,5,12:20:00,Pinar Hinojos,HV4-01,5,Episyrphus_balteatus,Halimium_calycinum,8,2
2021,90,13,5,12:20:00,Pinar Hinojos,HV4-01,6,Episyrphus_balteatus,Halimium_calycinum,8,2
2021,90,13,5,12:20:00,Pinar Hinojos,HV4-01,7,Episyrphus_balteatus,Halimium_calycinum,8,2
2021,90,13,5,12:20:00,Pinar Hinojos,HV4-01,8,Episyrphus_balteatus,Halimium_calycinum,8,2
