Fecha,Bosque,ronda,Planta,X,Y,labelled_flowers,number_fruits,abortos,Year,Day_ISO,Day,Week_ISO,Week,Periodo,Subplot,fruitset,Subplot_Plant_Label,Visits_tot,homo_motif,hete_motif,prob_consp_step,poll_richness,plant_richness,total_number_flowers,unloyal_steps,poll_abundance,log_prob_cons
2021-04-06,Pinar Villamanrique Sur,4,Cistus_salviifolius,8,3,5,5,0,2021,96,36,14,6,April,8-3,0.999,8-3 Cistus_salviifolius,79,28,0,0.9367455158994563,2,1,7,0,3,-0.028378377150399786
2021-04-06,Pinar Villamanrique Sur,4,Cistus_salviifolius,9,2,5,4,1,2021,96,36,14,6,April,9-2,0.8,9-2 Cistus_salviifolius,33,16,0,0.9570291466887688,2,1,22,0,6,-0.019074835417158285
2021-04-06,Pinar Villamanrique Sur,4,Cistus_salviifolius,9,7,5,5,0,2021,96,36,14,6,April,9-7,0.999,9-7 Cistus_salviifolius,13,12,0,0.9741310455429726,1,1,27,0,1,-0.011382615474633442
2021-04-06,Pinar Villamanrique Sur,4,Cistus_salviifolius,9,8,5,4,1,2021,96,36,14,6,April,9-8,0.8,9-8 Cistus_salviifolius,15,12,0,0.9999910175512137,1,1,87,0,1,-3.90104546237938e-6
2021-04-13,Pinar Villamanrique Sur,5,Cistus_salviifolius,1,1,5,5,0,2021,103,43,15,7,April,1-1,0.999,1-1 Cistus_salviifolius,11,5,0,0.9999820347481772,1,1,30,0,1,-7.80227981783638e-6
2021-04-13,Pinar Villamanrique Sur,5,Cistus_salviifolius,4,9,5,5,0,2021,103,43,15,7,April,4-9,0.999,4-9 Cistus_salviifolius,65,27,2,0.9999523815303313,2,1,10,0,3,-2.0680931014853487e-5
2021-04-13,Pinar Villamanrique Sur,5,Cistus_salviifolius,5,8,5,4,1,2021,103,43,15,7,April,5-8,0.8,5-8 Cistus_salviifolius,2,3,0,0.9789578262034309,1,1,9,0,1,-0.00923601733031602
2021-04-13,Pinar Villamanrique Sur,5,Cistus_salviifolius,5,8,5,4,1,2021,103,43,15,7,April,5-8,0.8,5-8 Cistus_salviifolius,2,3,0,0.9789578262034309,1,1,9,0,1,-0.00923601733031602
2021-04-13,Pinar Villamanrique Sur,5,Cistus_salviifolius,8,2,5,5,0,2021,103,43,15,7,April,8-2,0.999,8-2 Cistus_salviifolius,117,39,0,0.9999865263268233,3,1,26,0,4,-5.851581332854255e-6
2021-04-13,Pinar Villamanrique Sur,5,Cistus_salviifolius,9,2,5,5,0,2021,103,43,15,7,April,9-2,0.999,9-2 Cistus_salviifolius,69,36,0,0.9570291466887688,2,1,6,0,2,-0.019074835417158285
2021-04-19,Pinar Aznalcazar,5,Cistus_crispus,1,1,2,2,0,2021,109,49,16,7,April,1-1,0.999,1-1 Cistus_crispus,22,8,0,0.9999899234585236,2,1,6,0,2,-4.376208408449006e-6
