Fecha,Bosque,ronda,Planta,X,Y,labelled_flowers,number_fruits,abortos,Year,Day_ISO,Day,Week_ISO,Week,Periodo,Subplot,fruitset,Subplot_Plant_Label,Visits_tot,homo_motif,hete_motif,prob_consp_step,poll_richness,plant_richness,total_number_flowers
2021-03-02,Pinar Hinojos,1,Halimium_calycinum,5,4,3,3,0,2021,61,1,09,1,March,5-4,1,5-4 Halimium_calycinum,NA,NA,NA,0.6887481647445713,NA,1,3
2021-03-02,Pinar Hinojos,1,Halimium_calycinum,8,1,5,4,1,2021,61,1,09,1,March,8-1,0.8,8-1 Halimium_calycinum,8,3,1,0.9959008319488019,1,1,9
2021-03-02,Pinar Hinojos,1,Halimium_calycinum,8,4,5,4,1,2021,61,1,09,1,March,8-4,0.8,8-4 Halimium_calycinum,7,3,1,0.9999999997405158,1,2,281
2021-03-11,Pinar Hinojos,2,Halimium_calycinum,2,1,5,4,1,2021,70,10,10,2,March,2-1,0.8,2-1 Halimium_calycinum,8,0,0,7.894275409644185e-49,3,1,5
2021-03-11,Pinar Hinojos,2,Halimium_calycinum,3,6,3,1,2,2021,70,10,10,2,March,3-6,0.3333333333333333,3-6 Halimium_calycinum,NA,NA,NA,1.5033500559714924e-61,NA,1,3
2021-03-11,Pinar Hinojos,2,Halimium_calycinum,4,5,5,2,3,2021,70,10,10,2,March,4-5,0.4,4-5 Halimium_calycinum,NA,NA,NA,1.9528162845191535e-10,NA,1,9
2021-03-11,Pinar Hinojos,2,Halimium_calycinum,5,4,2,2,0,2021,70,10,10,2,March,5-4,1,5-4 Halimium_calycinum,2,1,0,1.5093463570833471e-33,1,1,2
2021-03-11,Pinar Hinojos,2,Halimium_calycinum,8,1,5,3,2,2021,70,10,10,2,March,8-1,0.6,8-1 Halimium_calycinum,NA,NA,NA,2.612235770606589e-59,NA,1,6
2021-03-11,Pinar Hinojos,2,Halimium_calycinum,8,4,5,4,1,2021,70,10,10,2,March,8-4,0.8,8-4 Halimium_calycinum,11,1,0,0.08359342988245348,1,2,107
2021-03-19,Pinar Hinojos,3,Halimium_calycinum,1,1,5,3,2,2021,78,18,11,3,March,1-1,0.6,1-1 Halimium_calycinum,NA,NA,NA,0.9888017634859823,NA,1,11
2021-03-19,Pinar Hinojos,3,Halimium_calycinum,1,1,3,1,2,2021,78,18,11,3,March,1-1,0.3333333333333333,1-1 Halimium_calycinum,NA,NA,NA,0.9888017634859823,NA,1,11
2021-03-19,Pinar Hinojos,3,Halimium_calycinum,1,1,3,3,0,2021,78,18,11,3,March,1-1,1,1-1 Halimium_calycinum,NA,NA,NA,0.9888017634859823,NA,1,11
2021-03-19,Pinar Hinojos,3,Halimium_calycinum,2,1,5,2,3,2021,78,18,11,3,March,2-1,0.4,2-1 Halimium_calycinum,8,0,0,0.9962532337708407,NA,1,5
2021-03-19,Pinar Hinojos,3,Halimium_calycinum,4,5,10,3,7,2021,78,18,11,3,March,4-5,0.3,4-5 Halimium_calycinum,NA,NA,NA,0.9962532337708407,NA,1,52
2021-03-19,Pinar Hinojos,3,Halimium_calycinum,5,4,4,4,0,2021,78,18,11,3,March,5-4,1,5-4 Halimium_calycinum,15,3,0,0.9962532337708407,3,1,4
2021-03-19,Pinar Hinojos,3,Halimium_calycinum,8,1,9,7,2,2021,78,18,11,3,March,8-1,0.7777777777777778,8-1 Halimium_calycinum,6,0,0,0.9962532337708407,1,1,28
2021-03-19,Pinar Hinojos,3,Halimium_calycinum,8,4,9,6,3,2021,78,18,11,3,March,8-4,0.6666666666666666,8-4 Halimium_calycinum,17,1,0,0.9962532337708407,1,1,43
2021-03-31,Pinar Hinojos,4,Halimium_calycinum,1,1,1,0,1,2021,90,30,13,5,March,1-1,0,1-1 Halimium_calycinum,NA,NA,NA,0.9999130845084206,NA,1,10
2021-03-31,Pinar Hinojos,4,Halimium_calycinum,1,1,3,0,3,2021,90,30,13,5,March,1-1,0,1-1 Halimium_calycinum,NA,NA,NA,0.9999130845084206,NA,1,10
2021-03-31,Pinar Hinojos,4,Halimium_calycinum,1,1,6,4,2,2021,90,30,13,5,March,1-1,0.6666666666666666,1-1 Halimium_calycinum,NA,NA,NA,0.9999130845084206,NA,1,10
2021-03-31,Pinar Hinojos,4,Halimium_calycinum,2,1,9,0,9,2021,90,30,13,5,March,2-1,0,2-1 Halimium_calycinum,NA,NA,NA,0.999971027330066,NA,1,12
2021-03-31,Pinar Hinojos,4,Halimium_calycinum,3,6,1,1,0,2021,90,30,13,5,March,3-6,1,3-6 Halimium_calycinum,NA,NA,NA,0.999971027330066,NA,1,1
2021-03-31,Pinar Hinojos,4,Halimium_calycinum,4,5,9,4,5,2021,90,30,13,5,March,4-5,0.4444444444444444,4-5 Halimium_calycinum,5,2,0,0.999971027330066,1,1,74
2021-03-31,Pinar Hinojos,4,Halimium_calycinum,5,4,3,1,2,2021,90,30,13,5,March,5-4,0.3333333333333333,5-4 Halimium_calycinum,1,2,0,0.999971027330066,1,1,3
2021-03-31,Pinar Hinojos,4,Halimium_calycinum,8,1,9,4,5,2021,90,30,13,5,March,8-1,0.4444444444444444,8-1 Halimium_calycinum,NA,NA,NA,0.999971027330066,NA,1,35
2021-03-31,Pinar Hinojos,4,Halimium_calycinum,8,4,9,5,4,2021,90,30,13,5,March,8-4,0.5555555555555556,8-4 Halimium_calycinum,2,2,0,1,1,NA,NA
2021-04-09,Pinar Hinojos,5,Cistus_libanotis,4,8,1,1,0,2021,99,39,14,6,April,4-8,1,4-8 Cistus_libanotis,NA,NA,NA,9.667345329870269e-21,NA,1,1
2021-04-09,Pinar Hinojos,5,Cistus_libanotis,10,7,7,7,0,2021,99,39,14,6,April,10-7,1,10-7 Cistus_libanotis,9,0,1,0.9999999999999999,1,2,8
2021-04-09,Pinar Hinojos,5,Halimium_calycinum,1,1,1,1,0,2021,99,39,14,6,April,1-1,1,1-1 Halimium_calycinum,NA,NA,NA,NA,NA,1,2
2021-04-09,Pinar Hinojos,5,Halimium_calycinum,1,1,1,0,1,2021,99,39,14,6,April,1-1,0,1-1 Halimium_calycinum,NA,NA,NA,NA,NA,1,2
2021-04-09,Pinar Hinojos,5,Halimium_calycinum,2,1,3,1,2,2021,99,39,14,6,April,2-1,0.3333333333333333,2-1 Halimium_calycinum,NA,NA,NA,NA,NA,1,3
2021-04-09,Pinar Hinojos,5,Halimium_calycinum,4,5,5,2,3,2021,99,39,14,6,April,4-5,0.4,4-5 Halimium_calycinum,5,2,0,NA,NA,1,27
2021-04-09,Pinar Hinojos,5,Halimium_calycinum,5,4,2,2,0,2021,99,39,14,6,April,5-4,1,5-4 Halimium_calycinum,1,2,0,NA,NA,1,2
2021-04-09,Pinar Hinojos,5,Halimium_calycinum,8,1,8,7,1,2021,99,39,14,6,April,8-1,0.875,8-1 Halimium_calycinum,NA,NA,NA,NA,NA,1,22
2021-04-09,Pinar Hinojos,5,Halimium_calycinum,8,4,7,6,1,2021,99,39,14,6,April,8-4,0.8571428571428571,8-4 Halimium_calycinum,2,2,0,NA,NA,1,13
