Bosque,Planta,X,Y,Week_ISO,Periodo,prob_consp_step
Pinar Villamanrique Este (Chaparral),Cistus_crispus,1,4,19,3,0.9999999999724847
Pinar Villamanrique Este (Chaparral),Cistus_crispus,1,7,19,3,1
Pinar Villamanrique Este (Chaparral),Cistus_crispus,2,5,19,3,1
Pinar Villamanrique Este (Chaparral),Cistus_crispus,4,7,19,3,1
Pinar Villamanrique Este (Chaparral),Cistus_crispus,5,4,19,3,1
Pinar Villamanrique Este (Chaparral),Cistus_crispus,5,5,19,3,1
Pinar Villamanrique Este (Chaparral),Cistus_crispus,6,4,19,3,1
Pinar Villamanrique Este (Chaparral),Cistus_crispus,7,1,19,3,1
Pinar Villamanrique Este (Chaparral),Cistus_crispus,1,7,21,3,NA
Pinar Villamanrique Este (Chaparral),Cistus_crispus,3,1,21,3,NA
Pinar Villamanrique Este (Chaparral),Cistus_crispus,5,5,21,3,NA
Pinar Villamanrique Sur,Cistus_salviifolius,1,6,11,1,0.9987910396952754
Pinar Villamanrique Sur,Cistus_salviifolius,2,3,11,1,0.9983724312838608
Pinar Villamanrique Sur,Cistus_salviifolius,2,9,11,1,0.9988323438925898
Pinar Villamanrique Sur,Cistus_salviifolius,3,7,11,1,0.9989331274761966
Pinar Villamanrique Sur,Cistus_salviifolius,3,9,11,1,0.9983278194179162
Pinar Villamanrique Sur,Cistus_salviifolius,3,10,11,1,0.9990363400884497
Pinar Villamanrique Sur,Cistus_salviifolius,4,3,11,1,0.9990292281095196
Pinar Villamanrique Sur,Cistus_salviifolius,4,9,11,1,0.9457669991703394
Pinar Villamanrique Sur,Cistus_salviifolius,5,8,11,1,0.9989631300687111
Pinar Villamanrique Sur,Cistus_salviifolius,7,9,11,1,0.999288355312114
Pinar Villamanrique Sur,Cistus_salviifolius,9,10,11,1,0.9993281014614307
Pinar Villamanrique Sur,Cistus_salviifolius,1,2,12,1,1
Pinar Villamanrique Sur,Cistus_salviifolius,1,3,12,1,1
Pinar Villamanrique Sur,Cistus_salviifolius,1,6,12,1,1
Pinar Villamanrique Sur,Cistus_salviifolius,2,3,12,1,1
Pinar Villamanrique Sur,Cistus_salviifolius,3,7,12,1,1
Pinar Villamanrique Sur,Cistus_salviifolius,3,10,12,1,1
Pinar Villamanrique Sur,Cistus_salviifolius,5,2,12,1,1
Pinar Villamanrique Sur,Cistus_salviifolius,6,3,12,1,1
Pinar Villamanrique Sur,Cistus_salviifolius,8,3,12,1,1
Pinar Villamanrique Sur,Cistus_salviifolius,9,7,12,1,1
Pinar Villamanrique Sur,Cistus_salviifolius,9,8,12,1,1
Pinar Villamanrique Sur,Cistus_salviifolius,3,10,14,2,0.9999908175129317
Pinar Villamanrique Sur,Cistus_salviifolius,4,9,14,2,0.9999907448933268
Pinar Villamanrique Sur,Cistus_salviifolius,5,1,14,2,0.9994089033291267
Pinar Villamanrique Sur,Cistus_salviifolius,6,3,14,2,0.9999884480200169
Pinar Villamanrique Sur,Cistus_salviifolius,7,9,14,2,0.9998892008304572
Pinar Villamanrique Sur,Cistus_salviifolius,8,3,14,2,0.999993775710863
Pinar Villamanrique Sur,Cistus_salviifolius,8,5,14,2,0.9999942298187904
Pinar Villamanrique Sur,Cistus_salviifolius,9,2,14,2,0.9992186229941905
Pinar Villamanrique Sur,Cistus_salviifolius,9,7,14,2,0.9999377347096202
Pinar Villamanrique Sur,Cistus_salviifolius,9,8,14,2,0.9999655589559954
Pinar Villamanrique Sur,Cistus_crispus,8,8,15,2,NA
Pinar Villamanrique Sur,Cistus_crispus,7,9,15,2,NA
Pinar Villamanrique Sur,Cistus_crispus,9,7,15,2,NA
Pinar Villamanrique Sur,Cistus_salviifolius,1,1,15,2,1.4898532317673394e-17
Pinar Villamanrique Sur,Cistus_salviifolius,1,6,15,2,8.394470186313976e-4
Pinar Villamanrique Sur,Cistus_salviifolius,3,4,15,2,0.17600212155568798
Pinar Villamanrique Sur,Cistus_salviifolius,4,9,15,2,0.0030137213260088827
Pinar Villamanrique Sur,Cistus_salviifolius,5,8,15,2,6.322786996961499e-4
Pinar Villamanrique Sur,Cistus_salviifolius,8,2,15,2,0.9997113414293236
Pinar Villamanrique Sur,Cistus_salviifolius,9,2,15,2,6.796556065261524e-84
Pinar Villamanrique Sur,Cistus_salviifolius,9,7,15,2,1.0792442273610713e-34
Pinar Villamanrique Sur,Cistus_salviifolius,9,8,15,2,0.5950833466800007
Pinar Villamanrique Sur,Halimium_halimifolium,1,9,15,2,NA
Pinar Villamanrique Sur,Halimium_halimifolium,3,1,15,2,NA
Pinar Villamanrique Sur,Cistus_crispus,5,4,16,2,0.9999980629643193
Pinar Villamanrique Sur,Cistus_crispus,6,6,16,2,0.9999940768371207
Pinar Villamanrique Sur,Cistus_crispus,7,10,16,2,0.9999660791751175
Pinar Villamanrique Sur,Cistus_crispus,8,8,16,2,0.9999922565262122
Pinar Villamanrique Sur,Cistus_crispus,8,9,16,2,0.9993994929660603
Pinar Villamanrique Sur,Cistus_crispus,8,10,16,2,0.9999758875635247
Pinar Villamanrique Sur,Cistus_crispus,9,7,16,2,0.9999598580387012
Pinar Villamanrique Sur,Cistus_salviifolius,1,10,16,2,NA
Pinar Villamanrique Sur,Cistus_salviifolius,2,9,16,2,NA
Pinar Villamanrique Sur,Cistus_salviifolius,2,10,16,2,NA
Pinar Villamanrique Sur,Cistus_salviifolius,8,2,16,2,NA
Pinar Villamanrique Sur,Cistus_salviifolius,9,7,16,2,NA
Pinar Villamanrique Sur,Cistus_salviifolius,9,10,16,2,NA
Pinar Villamanrique Sur,Halimium_halimifolium,1,9,16,2,1.5863843743721367e-133
Pinar Villamanrique Sur,Halimium_halimifolium,3,1,16,2,2.0077828156670062e-91
Pinar Villamanrique Sur,Cistus_crispus,3,6,18,3,0.008617171242201767
Pinar Villamanrique Sur,Cistus_crispus,5,4,18,3,0.8112684458178213
Pinar Villamanrique Sur,Cistus_crispus,6,6,18,3,0.81126843881255
Pinar Villamanrique Sur,Cistus_crispus,8,8,18,3,0.43316996688192344
Pinar Villamanrique Sur,Cistus_crispus,8,9,18,3,2.900478310291589e-9
Pinar Villamanrique Sur,Cistus_crispus,8,10,18,3,0.6581552477183569
Pinar Villamanrique Sur,Cistus_crispus,9,7,18,3,0.7467200152531794
Pinar Villamanrique Sur,Halimium_halimifolium,1,9,18,3,NA
Pinar Villamanrique Sur,Halimium_halimifolium,3,1,18,3,NA
Pinar Villamanrique Sur,Cistus_crispus,3,5,19,3,2.246617087732695e-7
Pinar Villamanrique Sur,Cistus_crispus,4,6,19,3,1.532872264681635e-8
Pinar Villamanrique Sur,Cistus_crispus,5,4,19,3,0.9941232278589996
Pinar Villamanrique Sur,Cistus_crispus,6,6,19,3,0.9937840884255943
Pinar Villamanrique Sur,Cistus_crispus,8,8,19,3,0.9882806860249338
Pinar Villamanrique Sur,Cistus_crispus,9,2,19,3,0.022235632302861394
Pinar Villamanrique Sur,Cistus_crispus,9,7,19,3,0.6431199356710917
