Bosque,X,Y,Planta,Subplot_Plant_Label,Periodo,labelled_flowers,number_fruits,fruitset,Visits_tot,homo_motif,hete_motif,prob_consp_step,poll_richness,plant_richness,total_number_flowers,total_steps,unloyal_steps,total_sequences,prop_homo,prop_hete,prop_unloyal,f_prob,f_flowers
Pinar Aznalcazar,2,6,Cistus_crispus,2-6 Cistus_crispus,May,5,5,0.999,24,27,0,0.7634297508674976,2,1,20,7,0,2,1,0,0,0.7634297508674976,20
Pinar Aznalcazar,4,7,Cistus_crispus,4-7 Cistus_crispus,April,11,8,0.7272727272727273,210,95,12,0.9920013664262796,7,1,55,93,1,16,0.8878504672897196,0.11214953271028037,0.010752688172043012,0.9920013664262796,55
Pinar Aznalcazar,4,7,Cistus_crispus,4-7 Cistus_crispus,May,5,3,0.6,45,33,12,0.9126686262162917,2,1,48,15,1,4,0.7333333333333333,0.26666666666666666,0.06666666666666667,0.9126686262162917,48
Pinar Aznalcazar,5,7,Cistus_crispus,5-7 Cistus_crispus,April,3,3,0.999,190,112,10,0.8489799263068069,7,2,10,76,0,18,0.9180327868852459,0.08196721311475409,0,0.8489799263068069,10
Pinar Aznalcazar,6,2,Cistus_crispus,6-2 Cistus_crispus,April,7,4,0.5714285714285714,2,14,0,0.878604643067767,1,2,19,1,0,1,1,0,0,0.878604643067767,19
Pinar Aznalcazar,6,7,Cistus_crispus,6-7 Cistus_crispus,April,4,4,0.999,38,54,6,0.8579405544056306,5,2,14,15,0,7,0.9,0.1,0,0.8579405544056306,14
Pinar Aznalcazar,7,3,Cistus_crispus,7-3 Cistus_crispus,April,6,4,0.6666666666666666,2,14,0,0.9917455446626089,1,1,14,1,0,1,1,0,0,0.9917455446626089,14
Pinar Aznalcazar,7,3,Cistus_crispus,7-3 Cistus_crispus,May,5,3,0.6,3,15,0,0.6969256606495875,1,1,13,1,0,1,1,0,0,0.6969256606495875,13
Pinar Aznalcazar,7,6,Cistus_crispus,7-6 Cistus_crispus,April,1,1,0.999,15,46,10,0.9913066588104196,3,1,2,7,0,5,0.8214285714285714,0.17857142857142858,0,0.9913066588104196,2
Pinar Aznalcazar,8,7,Cistus_crispus,8-7 Cistus_crispus,April,3,3,0.999,110,67,10,0.9936301018368687,3,1,59,40,0,8,0.8701298701298701,0.12987012987012986,0,0.9936301018368687,59
Pinar Hinojos,4,5,Halimium_calycinum,4-5 Halimium_calycinum,March,29,12,0.41379310344827586,5,2,0,0.9236466865817478,1,1,167,4,0,1,1,0,0,0.9236466865817478,167
Pinar Hinojos,4,8,Cistus_libanotis,4-8 Cistus_libanotis,April,13,7,0.5384615384615384,7,7,0,0.666657032436688,2,2,15,2,0,2,1,0,0,0.666657032436688,15
Pinar Hinojos,5,4,Halimium_calycinum,5-4 Halimium_calycinum,March,12,10,0.8333333333333334,63,15,0,0.7319903162605886,3,1,12,12,0,4,1,0,0,0.7319903162605886,12
Pinar Hinojos,8,1,Halimium_calycinum,8-1 Halimium_calycinum,March,28,18,0.6428571428571429,48,9,3,0.8120126348190603,2,1,78,12,0,3,0.75,0.25,0,0.8120126348190603,78
Pinar Hinojos,8,4,Halimium_calycinum,8-4 Halimium_calycinum,March,28,19,0.6785714285714286,102,16,3,0.9904570555298435,4,2,431,22,1,7,0.8421052631578947,0.15789473684210525,0.045454545454545456,0.9904570555298435,431
Pinar Hinojos,10,7,Cistus_libanotis,10-7 Cistus_libanotis,April,54,27,0.5,248,11,5,0.9999708428812509,4,3,54,52,1,7,0.6875,0.3125,0.019230769230769232,0.9999708428812509,54
Pinar Puebla,8,6,Cistus_crispus,8-6 Cistus_crispus,April,2,2,0.999,21,24,3,0.8921673075198937,1,2,29,7,0,3,0.8888888888888888,0.1111111111111111,0,0.8921673075198937,29
Pinar Puebla,8,7,Cistus_crispus,8-7 Cistus_crispus,April,1,1,0.999,12,24,3,0.8840430676199823,1,2,24,2,0,1,0.8888888888888888,0.1111111111111111,0,0.8840430676199823,24
