Fecha,Bosque,Ronda,Planta,X,Y,Flores,Year,Day_ISO,Day,Week_ISO,Week,Periodo
2021-05-03,Pinar Hinojos,7,Chamaemelum_mixtum,5,10,1,2021,123,63,18,9,2
2021-05-03,Pinar Hinojos,7,Cistus_libanotis,4,8,1,2021,123,63,18,9,2
2021-05-03,Pinar Hinojos,7,Cistus_libanotis,10,8,4,2021,123,63,18,9,2
2021-05-03,Pinar Hinojos,7,Leontodon_longirostris,1,2,1,2021,123,63,18,9,2
2021-05-03,Pinar Hinojos,7,Leontodon_longirostris,1,2,1,2021,123,63,18,9,2
2021-05-03,Pinar Hinojos,7,Leontodon_longirostris,1,4,1,2021,123,63,18,9,2
2021-05-03,Pinar Hinojos,7,Leontodon_longirostris,1,5,1,2021,123,63,18,9,2
2021-05-03,Pinar Hinojos,7,Leontodon_longirostris,1,5,1,2021,123,63,18,9,2
2021-05-03,Pinar Hinojos,7,Leontodon_longirostris,1,5,1,2021,123,63,18,9,2
2021-05-03,Pinar Hinojos,7,Leontodon_longirostris,1,5,1,2021,123,63,18,9,2
2021-05-03,Pinar Hinojos,7,Leontodon_longirostris,1,6,1,2021,123,63,18,9,2
2021-05-03,Pinar Hinojos,7,Leontodon_longirostris,1,6,1,2021,123,63,18,9,2
2021-05-03,Pinar Hinojos,7,Leontodon_longirostris,1,6,1,2021,123,63,18,9,2
2021-05-03,Pinar Hinojos,7,Leontodon_longirostris,1,6,1,2021,123,63,18,9,2
2021-05-03,Pinar Hinojos,7,Leontodon_longirostris,1,6,1,2021,123,63,18,9,2
2021-05-03,Pinar Hinojos,7,Leontodon_longirostris,1,7,1,2021,123,63,18,9,2
2021-05-03,Pinar Hinojos,7,Leontodon_longirostris,1,7,1,2021,123,63,18,9,2
2021-05-03,Pinar Hinojos,7,Leontodon_longirostris,1,7,1,2021,123,63,18,9,2
2021-05-03,Pinar Hinojos,7,Leontodon_longirostris,1,7,1,2021,123,63,18,9,2
2021-05-03,Pinar Hinojos,7,Leontodon_longirostris,1,7,1,2021,123,63,18,9,2
2021-05-03,Pinar Hinojos,7,Leontodon_longirostris,1,7,1,2021,123,63,18,9,2
2021-05-03,Pinar Hinojos,7,Leontodon_longirostris,1,7,1,2021,123,63,18,9,2
2021-05-03,Pinar Hinojos,7,Leontodon_longirostris,1,7,1,2021,123,63,18,9,2
2021-05-03,Pinar Hinojos,7,Leontodon_longirostris,1,7,1,2021,123,63,18,9,2
2021-05-03,Pinar Hinojos,7,Leontodon_longirostris,1,7,1,2021,123,63,18,9,2
