"Fecha","Bosque","X.Y","Planta","Flores","Observaciones","Periodo","x","y"
0021-04-14,1,"13.08","0",0,"",1,"13","08"
0021-04-14,1,"12.08","0",0,"",1,"12","08"
0021-04-14,1,"11.08","0",0,"",1,"11","08"
0021-04-14,1,"10.08","0",0,"",1,"10","08"
0021-04-14,1,"9.08","0",0,"",1,"9","08"
0021-04-14,1,"8.08","Viola riviniana",1,"",1,"8","08"
0021-04-14,1,"7.08","0",0,"",1,"7","08"
0021-04-14,1,"6.08","0",0,"",1,"6","08"
0021-04-14,1,"5.08","Potentilla sterilis",1,"",1,"5","08"
0021-04-14,1,"4.08","Viola riviniana",2,"",1,"4","08"
0021-04-14,1,"4.08","Hepatica nobilis",2,"",1,"4","08"
0021-04-14,1,"4.08","Bellis perennis",2,"",1,"4","08"
0021-04-14,1,"3.08","0",0,"",1,"3","08"
0021-04-14,1,"2.08","Viola riviniana",1,"",1,"2","08"
0021-04-14,1,"2.08","Hepatica nobilis",1,"",1,"2","08"
0021-04-14,1,"1.08","Hepatica nobilis",1,"",1,"1","08"
0021-04-14,1,"1.08","Potentilla sterilis",1,"",1,"1","08"
0021-04-14,1,"1.08","Viola riviniana",1,"",1,"1","08"
0021-04-14,1,"0.08","0",0,"",1,"0","08"
0021-04-14,1,"0.09","0",0,"",1,"0","09"
0021-04-14,1,"1.09","Hepatica nobilis",1,"",1,"1","09"
0021-04-14,1,"1.09","Viola riviniana",1,"",1,"1","09"
0021-04-14,1,"2.09","0",0,"",1,"2","09"
0021-04-14,1,"3.09","Hepatica nobilis",2,"",1,"3","09"
0021-04-14,1,"3.09","Taraxacum sp.",1,"",1,"3","09"
0021-04-14,1,"4.09","0",0,"",1,"4","09"
0021-04-14,1,"5.09","Viola riviniana",1,"",1,"5","09"
0021-04-14,1,"6.09","0",0,"",1,"6","09"
0021-04-14,1,"7.09","Helleborus viridis",2,"",1,"7","09"
0021-04-14,1,"7.09","Potentilla sterilis",1,"",1,"7","09"
0021-04-14,1,"7.09","Hepatica nobilis",4,"",1,"7","09"
0021-04-14,1,"8.09","Viola riviniana",1,"",1,"8","09"
0021-04-14,1,"9.09","0",0,"",1,"9","09"
0021-04-14,1,"10.09","Bellis perennis",1,"",1,"10","09"
0021-04-14,1,"11.09","Taraxacum sp.",2,"",1,"11","09"
0021-04-14,1,"12.09","Viola riviniana",3,"",1,"12","09"
0021-04-14,1,"12.09","Potentilla sterilis",1,"",1,"12","09"
0021-04-14,1,"13.09","Hutchinsia alpina",10,"",1,"13","09"
0021-04-14,1,"14.09","Hutchinsia alpina",18,"",1,"14","09"
0021-04-14,1,"15.09","Taraxacum sp.",1,"",1,"15","09"
0021-04-14,1,"15.09","Bellis perennis",1,"",1,"15","09"
0021-04-14,1,"16.09","Taraxacum sp.",1,"",1,"16","09"
0021-04-14,1,"16.09","Potentilla sterilis",1,"",1,"16","09"
0021-04-14,1,"17.09","0",0,"",1,"17","09"
0021-04-14,1,"18.09","Helleborus viridis",3,"",1,"18","09"
0021-04-14,1,"18.09","Taraxacum sp.",3,"",1,"18","09"
0021-04-14,1,"19.09","Bellis perennis",6,"",1,"19","09"
0021-04-14,1,"19.09","Potentilla sterilis",3,"",1,"19","09"
0021-04-14,1,"19.09","Viola riviniana",1,"",1,"19","09"
0021-04-14,1,"20.09","Taraxacum sp.",2,"",1,"20","09"
0021-04-14,1,"21.09","Taraxacum sp.",2,"",1,"21","09"
0021-04-14,1,"22.09","Taraxacum sp.",1,"",1,"22","09"
0021-04-14,1,"22.09","Viola riviniana",1,"",1,"22","09"
0021-04-14,1,"22.09","Potentilla sterilis",1,"",1,"22","09"
0021-04-14,1,"23.09","0",0,"",1,"23","09"
0021-04-14,1,"24.09","0",0,"",1,"24","09"
0021-04-14,1,"24.1","0",0,"",1,"24","1"
0021-04-14,1,"23.1","0",0,"",1,"23","1"
0021-04-14,1,"22.1","Bellis perennis",1,"",1,"22","1"
0021-04-14,1,"21.1","Helleborus viridis",4,"",1,"21","1"
0021-04-14,1,"21.1","Bellis perennis",2,"",1,"21","1"
0021-04-14,1,"20.1","Bellis perennis",2,"",1,"20","1"
0021-04-14,1,"20.1","Potentilla sterilis",4,"",1,"20","1"
0021-04-14,1,"20.1","Taraxacum sp.",1,"",1,"20","1"
0021-04-14,1,"20.1","Helleborus viridis",2,"",1,"20","1"
0021-04-14,1,"19.1","Helleborus viridis",5,"",1,"19","1"
0021-04-14,1,"19.1","Potentilla sterilis",1,"",1,"19","1"
0021-04-14,1,"18.1","Potentilla sterilis",1,"",1,"18","1"
0021-04-14,1,"18.1","Taraxacum sp.",3,"",1,"18","1"
0021-04-14,1,"17.1","Viola riviniana",1,"",1,"17","1"
0021-04-14,1,"16.1","Taraxacum sp.",1,"",1,"16","1"
0021-04-14,1,"16.1","Bellis perennis",1,"",1,"16","1"
0021-04-14,1,"15.1","0",0,"",1,"15","1"
0021-04-14,1,"14.1","Hutchinsia alpina",19,"",1,"14","1"
0021-04-14,1,"14.1","Bellis perennis",1,"",1,"14","1"
0021-04-14,1,"14.1","Potentilla sterilis",1,"",1,"14","1"
0021-04-14,1,"13.1","Hutchinsia alpina",3,"",1,"13","1"
0021-04-14,1,"13.1","Viola riviniana",1,"",1,"13","1"
0021-04-14,1,"12.1","Potentilla sterilis",2,"",1,"12","1"
0021-04-14,1,"11.1","Helleborus viridis",1,"",1,"11","1"
0021-04-14,1,"10.1","Helleborus viridis",1,"",1,"10","1"
0021-04-14,1,"9.1","0",0,"",1,"9","1"
0021-04-14,1,"8.1","Potentilla sterilis",3,"",1,"8","1"
0021-04-14,1,"8.1","Taraxacum sp.",1,"",1,"8","1"
0021-04-14,1,"7.1","Taraxacum sp.",1,"",1,"7","1"
0021-04-14,1,"6.1","Helleborus viridis",3,"",1,"6","1"
0021-04-14,1,"5.1","0",0,"",1,"5","1"
0021-04-14,1,"4.1","0",0,"",1,"4","1"
0021-04-14,1,"3.1","0",0,"",1,"3","1"
0021-04-14,1,"2.1","Potentilla sterilis",1,"",1,"2","1"
0021-04-14,1,"1.1","0",0,"",1,"1","1"
0021-04-14,1,"0.1","Taraxacum sp.",1,"",1,"0","1"
0021-04-14,1,"0.11","0",0,"",1,"0","11"
0021-04-14,1,"1.11","Taraxacum sp.",1,"",1,"1","11"
0021-04-14,1,"2.11","Taraxacum sp.",1,"",1,"2","11"
0021-04-14,1,"3.11","Hepatica nobilis",1,"",1,"3","11"
0021-04-14,1,"3.11","Viola riviniana",1,"",1,"3","11"
0021-04-14,1,"4.11","Bellis perennis",1,"",1,"4","11"
0021-04-14,1,"5.11","Viola riviniana",1,"",1,"5","11"
0021-04-14,1,"5.11","Taraxacum sp.",1,"",1,"5","11"
0021-04-14,1,"6.11","Viola riviniana",2,"",1,"6","11"
0021-04-14,1,"7.11","Viola riviniana",6,"",1,"7","11"
0021-04-14,1,"7.11","Potentilla sterilis",1,"",1,"7","11"
0021-04-14,1,"7.11","Bellis perennis",1,"",1,"7","11"
0021-04-14,1,"8.11","0",0,"",1,"8","11"
